language	branch	postposition	postp_id	meaning	type (spatial, temporal, abstract)	source pos	government (nouns)	government (pronouns)	directionality	adverbial use (yes/no)	borrowed (yes/no)	agreement	agreement_stem	agreement_slot	comment	reference
Karata	Avar-Andic	hini	275	inside	spatial		interessive	interessive	1	1	0	0	0			
Karata	Avar-Andic	baƛ'i	276	in the middle	spatial		contessive	contessive		1	0	0	0			
Karata	Avar-Andic	baƛ'i	276	in the middle	spatial		locative	locative		1	0	0	0			
Karata	Avar-Andic	baƛ'i	276	in the middle	spatial		interessive	interessive		1	0	0	0			
Karata	Avar-Andic	sːigi	277	in front of	spatial		contessive	contessive	1	1	0	0	0			
Karata	Avar-Andic	sːigi	277	in front of	spatial		locative	locative	1	1	0	0	0			
Karata	Avar-Andic	χigi	278	behind	spatial		contessive	contessive	1	1	0	0	0			
Karata	Avar-Andic	χigi	278	behind	spatial		locative	locative	1	1	0	0	0			
Karata	Avar-Andic	battːari	279	in corner	spatial	noun				1	0	0	0			
Karata	Avar-Andic	battːil'i	280	between	spatial					1	0	0	0			
Karata	Avar-Andic	saru	281	close to	spatial		comitative	comitative		1	0	0	0			
Karata	Avar-Andic	saru	281	together with	abstract		comitative	comitative		1	0	0	0			
Karata	Avar-Andic	sabałe	282	because of	abstract		nominative	nominative		0	1	0	0			
Karata	Avar-Andic	biłe	283	for	abstract		locative	locative		0	0	0	0			
Karata	Avar-Andic	q'usab	284	except	abstract		nominative	nominative		0	0	0	0			
Karata	Avar-Andic	χigi-sːigi	285	around	spatial		contessive	contessive		1	0	0	0			
Karata	Avar-Andic	χigi-sːigi	285	around	spatial		locative	locative		1	0	0	0			
Karata	Avar-Andic	ariq	286	along	spatial					1	0	0	0			
Karata	Avar-Andic	baq'ebχʷa	287	according to	abstract		locative	locative		1	0	0	0			
Karata	Avar-Andic	baʔilasː	288	until	spatial		superlative	superlative		1	0	0	0			
Karata	Avar-Andic	baʔilasː	288	until	spatial		nominative	nominative		1	0	0	0			
Karata	Avar-Andic	biχːulasː	289	except	abstract		nominative	nominative			0	0	0			
Karata	Avar-Andic	hač'ʷarel	290	without	abstract			nominative			0	0	0		is used only with pronouns	
Karata	Avar-Andic	dande	291	opposite	spatial		locative	locative		1	0	0	0			
Karata	Avar-Andic	raʔaril	292	because of	abstract		locative	locative		0	0	0	0			
Karata	Avar-Andic	sːoreq	293	around	spatial		nominative	nominative		1	0	0	0			
Karata	Avar-Andic	χirχir	294	following	spatial		locative	locative		1	0	0	0			
Karata	Avar-Andic	ħaq'ałːiƛ	295	about	abstract		genitive	genitive		0	1	0	0			
Karata	Avar-Andic	esebʷa	296	near	spatial	noun	contessive	contessive		1	0	0	0			
Botlikh	Avar-Andic	sandu	297	together with	abstract		contessive	contessive		1	0	0	0			
Botlikh	Avar-Andic	hea	298	above	spatial		inessive	inessive	1	1	0	0	0			
Botlikh	Avar-Andic	hea	298	above	spatial		contessive	contessive	1	1	0	0	0			
Botlikh	Avar-Andic	hiƛ'i	299	under	spatial		contessive	contessive	1	1	0	0	0			
Botlikh	Avar-Andic	sːea	300	ahead	spatial		contessive	contessive	1	1	0	0	0			
Botlikh	Avar-Andic	b=aƛ'u	301	among	spatial	noun	contessive	contessive		1	0	1	1	prefix		
Botlikh	Avar-Andic	b=eχut'u	302	following	spatial		contessive	contessive		1	0	1	1	prefix		
Botlikh	Avar-Andic	sːeaku	303	instead	abstract		contessive	contessive		0	0	0	0			
Botlikh	Avar-Andic	b=eƛ'aru	304	near	spatial	noun	contessive	contessive		1	0	1	1	prefix		
Botlikh	Avar-Andic	besqe	305	behind	spatial		contessive	contessive		1	0	0	0			
Botlikh	Avar-Andic	baq'o	306	according to	abstract		dative	dative		1	0	0	0			
Botlikh	Avar-Andic	b=equt'u	307	around	spatial		contessive	contessive		1	0	1	1	prefix		
Botlikh	Avar-Andic	hinu	308	inside	spatial		interessive	interessive		1	0	0	0			
Botlikh	Avar-Andic	danda	309	opposite	spatial		contessive	contessive		1	0	0	0			
Botlikh	Avar-Andic	saʔabu	310	because of	abstract		nominative	nominative		0	0	0	0			
Botlikh	Avar-Andic	ħaq'alda	311	about	abstract		genitive	genitive		0	1	0	0			
Kubachi	Dargic	b=ukːi=b	312	inside	spatial	noun	genitive	genitive	1	1	0	1	1	prefix and suffix		
Kubachi	Dargic	b=agni=b	313	in the middle	spatial	noun	genitive	genitive	1	1	0	1	1	prefix and suffix		
Kubachi	Dargic	tːaː	314	outside	spatial		genitive	genitive	1		0	0	0			
Kubachi	Dargic	lumi=b	315	at the edge	spatial	noun	genitive	genitive	1		0	1	0	suffix		
Kubachi	Dargic	tala	316	in front of	spatial		genitive	genitive		1	0	0	0			
Kubachi	Dargic	čili=b	317	on	spatial		genitive	genitive	1	1	0	1	0	suffix		
Kubachi	Dargic	guli=b	318	down	spatial		genitive	genitive	1	1	0	1	0	suffix		
Kubachi	Dargic	šːuli=b	319	near	spatial		genitive	genitive	1	1	0	1	0	suffix		
Kubachi	Dargic	šːal	320	from the side	spatial	noun	genitive	genitive		0	0	0	0			
Kubachi	Dargic	učːi=b	321	between	spatial		genitive	genitive	1	1	0	1	0	suffix		
Kubachi	Dargic	hila	322	back	spatial		genitive	genitive	1	1	0	0	0			
Kubachi	Dargic	heʁi=b	323	following	spatial		genitive	genitive	1	1	0	1	0	suffix		
Kubachi	Dargic	tːaː=b=aː	324	except	abstract		genitive	genitive			0	1	1	infix		
Akusha	Dargic	ʡerʁi	325	after	spatial		genitive	genitive		1	0	0	0			
Akusha	Dargic	ʡerʁi	325	after	spatial		dative	dative		1	0	0	0			
Akusha	Dargic	dura=b	326	outside	spatial		genitive	genitive	1	1	0	1	0	suffix		
Akusha	Dargic	b=uħna=b	327	inside	spatial		genitive	genitive	1	1	0	1	1	prefix and suffix		
Akusha	Dargic	urga=b	328	in the middle	spatial		absolutive	absolutive	1	1	0	1	0	suffix		
Akusha	Dargic	urga=b	328	in the middle	spatial		genitive	genitive	1	1	0	1	0	suffix		
Akusha	Dargic	hala=b	329	in front of	spatial		genitive	genitive	1	1	0	1	0	suffix		
Akusha	Dargic	hala=b	329	near	spatial		genitive	genitive	1	1	0	1	0	suffix		
Akusha	Dargic	hala=b	329	in front of	spatial		dative	dative	1	1	0	1	0	suffix		
Akusha	Dargic	hala=b	329	near	spatial		dative	dative	1	1	0	1	0	suffix		
Akusha	Dargic	ʡela=b	330	behind	spatial		absolutive	absolutive	1	1	0	1	0	suffix		
Akusha	Dargic	ʡela=b	330	behind	spatial		dative	dative	1	1	0	1	0	suffix		
Akusha	Dargic	ʡela=b	330	behind	spatial		genitive	genitive	1	1	0	1	0	suffix		
Akusha	Dargic	udi=b	331	below	spatial		genitive	genitive	1	1	0	1	0	suffix		
Akusha	Dargic	čedi=b	332	above	spatial		genitive	genitive	1	1	0	1	0	suffix		
Akusha	Dargic	alaw	333	around	spatial		dative	dative		1	0	0	0			
Akusha	Dargic	alaw	333	around	spatial		absolutive	absolutive		1	0	0	0			
Akusha	Dargic	b=arxli	334	opposite	spatial		comitative	comitative		1	0	1	1	prefix		
Akusha	Dargic	b=arxli	334	opposite	spatial		absolutive	absolutive		1	0	1	1	prefix		
Akusha	Dargic	q'adin	335	instead	abstract		dative	dative		0	0	0	0			
Akusha	Dargic	bahandan	336	for	abstract		absolutive	absolutive		0	1	0	0			
Akusha	Dargic	barχ	337	together with	abstract		comitative	comitative		1	0	0	0			
Akusha	Dargic	sababli	338	because of	abstract		absolutive	absolutive		0	1	0	0			
Akusha	Dargic	šulʡi=b	339	near	spatial	noun	genitive	genitive	1	1	0	1	0	suffix		
Akusha	Dargic	mäq'la=b	340	near	spatial	noun	genitive	genitive	1	1	0	1	0	suffix		
Akusha	Dargic	ʁamli	341	beside	spatial		comitative	comitative		1	0	0	0			
Akusha	Dargic	ɢaršili	342	opposite	spatial		comitative	comitative		1	1	0	0			
Akusha	Dargic	durabadra	343	except	abstract		genitive	genitive			0	0	0			
Akusha	Dargic	hanni	344	because of	abstract	verb	absolutive	absolutive			0	0	0			
Akusha	Dargic	ɢel	345	during	temporal	noun	genitive	genitive			0	0	0			
Akusha	Dargic	barili	346	according to	abstract	verb	comitative	comitative			0	0	0			
Akusha	Dargic	ħerħeili	347	despite	abstract	verb	superessive	superessive		1	0	0	0			
Akusha	Dargic	ħeq'lizi=b	348	about	abstract	noun	genitive	genitive	1	0	1	1	0	suffix		
Akusha	Dargic	merla=b	349	instead	abstract	noun	genitive	genitive	1	1	0	1	0	suffix		
Akusha	Dargic	d=ajla=b	350	in the middle	spatial	noun	genitive	genitive	1	1	0	1	1	prefix and suffix		
Akusha	Dargic	dubla=b	351	beside	spatial		genitive	genitive	1	1	0	1	0	suffix		
Akusha	Dargic	kad	352	along	spatial		absolutive	absolutive		0	0	0	0			
Akusha	Dargic	bikajči	353	until	spatial		absolutive	absolutive		0	0	0	0			
Akusha	Dargic	-šal	354	in respect to	abstract		absolutive	absolutive		0	0	0	0			
Akusha	Dargic	-sun	355	along	spatial		absolutive	absolutive		0	0	0	0			
Akusha	Dargic	-b=äħ(li)	356	toward	spatial		absolutive	absolutive		0	0	1	0	suffix		
Akusha	Dargic	-ʡebli	357	at the side	spatial		absolutive	absolutive		0	0	0	0			
Akusha	Dargic	-ʡeb(li)	358	into	spatial		absolutive	absolutive		0	0	0	0			
Mehweb	Dargic	haraq'e=b	359	in front of	spatial		dative	dative	1	1	0	1	0	suffix		
Mehweb	Dargic	b=uħna=b	360	inside	spatial		dative	dative	1	1	0	1	1	prefix and suffix		
Mehweb	Dargic	šulʡe=b	361	near	spatial		dative	dative	1	1	0	1	0	suffix		
Mehweb	Dargic	urga=b	362	between	spatial		dative	dative	1	1	0	1	0	suffix		
Mehweb	Dargic	dura=b	363	outside	spatial		dative	dative	1	1	0	1	0	suffix		
Mehweb	Dargic	b=ajcana=b	364	in the middle	spatial		dative	dative	1	1	0	1	1	prefix and suffix		
Mehweb	Dargic	ʔu=b	365	under	spatial		genitive	dative	1	1	0	1	0	suffix		
Mehweb	Dargic	ʡa=b=ad	366	behind	spatial		genitive	dative	1	1	0	1	1	infix		
Mehweb	Dargic	ha=CL=ha=CL	367	ahead	spatial		dative	dative		1	0	1	1	suffix		
Mehweb	Dargic	CL=ijal	368	together with	abstract		comitative	dative		1	0	1	1	prefix		
Mehweb	Dargic	aqu=b	369	above	spatial		dative	dative		1	0	1	0	suffix		
Mehweb	Dargic	sarajje	370	for	abstract		absolutive	absolutive		1	0	0	0			
Mehweb	Dargic	bahandale	371	for	abstract		absolutive	absolutive		1	1	0	0			
Kajtak	Dargic	darxčili	372	direct	spatial		absolutive	absolutive	0		0	0	0			
Kajtak	Dargic	darxčili	372	direct	spatial		dative	dative	0		0	0	0			
Kajtak	Dargic	ɢaršili	373	opposite	spatial		dative	dative	0		1	0	0			
Kajtak	Dargic	däʡčili	374	facing	spatial	noun	dative	dative	0		0	0	0			
Kajtak	Dargic	bakni	375	in	spatial		genitive	genitive	1	1	0	0	0			
Kajtak	Dargic	dagna	376	in the middle	spatial		genitive	genitive	1	1	0	0	0			
Kajtak	Dargic	urkːa	377	between	spatial				1		0	0	0			
Kajtak	Dargic	če	378	on	spatial		genitive	genitive	1	1	0	0	0			
Kajtak	Dargic	če	378	under	spatial		genitive	genitive	1	1	0	0	0			
Kajtak	Dargic	saʁli	379	in front of	spatial		genitive	genitive	1	1	0	0	0			
Kajtak	Dargic	mäʁla	380	behind	spatial		genitive	genitive	1	1	0	0	0			
Kajtak	Dargic	hiräɢːä	381	behind	spatial		genitive	genitive	1	1	0	0	0			
Kajtak	Dargic	mäq'e	382	near	spatial		genitive	genitive	1	1	0	0	0			
Kajtak	Dargic	alaw	383	around	spatial				1		0	0	0			
Kajtak	Dargic	tːura	384	out	spatial		genitive	genitive	1	1	0	0	0			
Kajtak	Dargic	guni	385	under	spatial		genitive	genitive	1	1	0	0	0			
Kajtak	Dargic	šele	386	beside	spatial		genitive	genitive		1	0	0	0			
Itsari	Dargic	tura=b	387	outside	spatial	noun	genitive	genitive	1	1	0	1	0	suffix		
Itsari	Dargic	tura=b	388	except	abstract	noun	genitive	genitive	0	1	0	1	0	suffix		
Itsari	Dargic	sala=b	389	in front of	spatial		genitive	genitive	1	1	0	1	0	suffix		
Itsari	Dargic	hela=b	390	behind	spatial		genitive	genitive	1	1	0	1	0	suffix		
Itsari	Dargic	xxari=b	391	beneath	spatial		genitive	genitive	1	1	0	1	0	suffix		
Itsari	Dargic	qari=b	392	above	spatial		genitive	genitive	1	1	0	1	0	suffix		
Itsari	Dargic	šalliči=b	393	near	spatial		genitive	genitive	1	1	0	1	0	suffix		
Itsari	Dargic	urkka=b	394	between	spatial		absolutive	absolutive	1	1	0	1	0	suffix		
Itsari	Dargic	urkka=b	394	between	spatial		genitive	genitive	1	1	0	1	0	suffix		
Itsari	Dargic	kkʷi=b	395	inside	spatial		illative	illative	1	1	0	1	0	suffix		
Itsari	Dargic	tti=b	396	behind	spatial		postlative	postlative	1	1	0	1	0	suffix		
Itsari	Dargic	šal	397	about	abstract		genitive	genitive	0	1	0	0	0			
Itsari	Dargic	ssunni	398	like	abstract		genitive	genitive	0	1	0	0	0			
Itsari	Dargic	pajla	399	instead	abstract		genitive	genitive	0	1	0	0	0			
Itsari	Dargic	b=arxxil	400	directly towards	spatial		absolutive	absolutive	0	1	0	1	1	prefix		
Itsari	Dargic	b=arxxil	400	directly towards	spatial		superlative	superlative	0	1	0	1	1	prefix		
Itsari	Dargic	b=alli	401	together with	abstract		illative	illative	0	1	0	1	1	prefix		
Itsari	Dargic	hekkil	402	close to	spatial		superlative	superlative	0	1	0	0	0			
Itsari	Dargic	či=b	403	on	spatial		superlative	superlative	0	1	0	1	0	suffix		
Itsari	Dargic	q'attina	404	for the sake of	abstract		superlative	superlative	0	1	0	0	0			
Itsari	Dargic	w=alli	405	with	abstract		comitative	comitative	0	1	0	1	1	prefix		
Itsari	Dargic	Halsibli	406	according to	abstract		absolutive	absolutive	0		0	0	0			
Itsari	Dargic	hanni	407	caring for	abstract		absolutive	absolutive	0		0	0	0			
Itsari	Dargic	bahandan	408	because of	abstract		absolutive	absolutive	0		1	0	0			
Itsari	Dargic	sar	409	before	temporal		superelative	superelative	0		0	0	0			
Itsari	Dargic	malq'inna	410	until	temporal		superlative	superlative	0		0	0	0			
Itsari	Dargic	xːarri	411	although	abstract		absolutive	absolutive	0		0	0	0			
Itsari	Dargic	satːinna	412	as long as	abstract		absolutive	absolutive	0		0	0	0			
Itsari	Dargic	lehetːi	413	after	temporal		absolutive	absolutive	0		0	0	0			
Itsari	Dargic	(h)eːr	414	like	abstract		absolutive	absolutive	0		0	0	0			
Itsari	Dargic	zamana	415	when	temporal		genitive	genitive	0		1	0	0			
Sanzhi	Dargic	sala=b	416	in front of	spatial		genitive	genitive	1	1	0	1	0	suffix		
Sanzhi	Dargic	sala=b	416	ago	temporal		genitive	genitive	1	1	0	1	0	suffix		
Sanzhi	Dargic	sa=b	417	in front of	spatial		genitive	genitive	1	1	0	1	0	suffix		
Sanzhi	Dargic	sa=b	418	ago	temporal		absolutive	absolutive	1	1	0	1	0	suffix		
Sanzhi	Dargic	hila=b	419	behind	spatial		genitive	genitive	1	1	0	1	0	suffix		
Sanzhi	Dargic	hitːi=b	420	behind	spatial		genitive	genitive	1	1	0	1	0	suffix		
Sanzhi	Dargic	xːari=b	421	under	spatial		genitive	genitive	1	1	0	1	0	suffix		
Sanzhi	Dargic	qari=b	422	above	spatial		genitive	genitive	1	1	0	1	0	suffix		
Sanzhi	Dargic	qari=b	422	about	abstract		genitive	genitive	1	1	0	1	0	suffix		
Sanzhi	Dargic	či=b	423	on	spatial		genitive	genitive	1	1	0	1	0	suffix		
Sanzhi	Dargic	či=b	423	on	spatial		locative	locative	1	1	0	1	0	suffix		
Sanzhi	Dargic	urkːa=b	424	in the middle	spatial		genitive	genitive	1	1	0	1	0	suffix		
Sanzhi	Dargic	urkːa=b	424	in the middle	spatial		absolutive	absolutive	1	1	0	1	0	suffix		
Sanzhi	Dargic	b=i=b	425	inside	spatial		locative	locative	1	1	0	1	1	prefix and suffix		
Sanzhi	Dargic	b=i=b	425	inside	spatial		inessive	inessive	1	1	0	1	1	prefix and suffix		
Sanzhi	Dargic	b=i=b	425	inside	spatial		genitive	genitive	1	1	0	1	1	prefix and suffix		
Sanzhi	Dargic	šːule=b	426	aside	spatial	noun	genitive	genitive	1	1	0	1	0	suffix		
Sanzhi	Dargic	tːura=b	427	outside	spatial		genitive	genitive	1	1	0	1	0	suffix		
Sanzhi	Dargic	tːura=b	428	except	abstract		genitive	genitive		1	0	1	0	suffix		
Sanzhi	Dargic	tːura=b	428	except	abstract		loc-ablative	loc-ablative		1	0	1	0	suffix		
Sanzhi	Dargic	b=alli	429	together with	abstract		comitative	comitative	0	1	0	1	1	prefix		
Sanzhi	Dargic	b=alli	429	together with	abstract		in-ablative	in-ablative	0	1	0	1	1	prefix		
Sanzhi	Dargic	canille	430	together with	abstract	numeral	comitative	comitative	0	1	0	0	0			
Sanzhi	Dargic	bahanne	431	because of	abstract	noun	absolutive	absolutive	0		1	0	0			
Sanzhi	Dargic	akʷːar	432	without	abstract	verb	absolutive	absolutive	0		0	0	0			
Sanzhi	Dargic	q'atːin(na)	433	for the sake of	abstract		absolutive	absolutive	0		0	0	0			
Sanzhi	Dargic	ħaˁsible	434	according to	abstract		absolutive	absolutive	0		1	0	0			
Lak	Lak	xːič'un<m>aj	435	before	spatial		comparative	comparative	1	1	0	1	0	suffix		
Lak	Lak	xːič'un<m>aj	436	before	temporal		genitive	genitive	1	1	0	1	0	suffix		
Lak	Lak	wi<pː>aj	437	inside	spatial		genitive	genitive	1	1	0	1	0	suffix		
Lak	Lak	č'araw<w>aj	438	near	spatial		genitive	genitive	1	1	0	1	0	suffix		
Lak	Lak	čulin<m>aj	439	beside	spatial	noun	genitive	genitive	1	1	0	1	0	suffix		
Lak	Lak	maqun<m>aj	440	behind	spatial		comparative	comparative	1	1	0	1	0	suffix		
Lak	Lak	maqun<m>aj	441	after	temporal		genitive	genitive	1	1	0	1	0	suffix		
Lak	Lak	muq'uχun<m>aj	442	following	spatial	noun			1	1	0	1	0	suffix		
Lak	Lak	jaluw<w>aj	443	above	spatial		genitive	genitive	1	1	0	1	0	suffix		
Lak	Lak	jalu	444	for	abstract					0	0	0	0			
Lak	Lak	luw<pː>aj	445	below	spatial		genitive	genitive	1	1	0	1	0	suffix		
Lak	Lak	daˁniwn<m>aj	446	in the middle	spatial	noun	genitive	genitive	1	1	0	1	0	suffix		
Lak	Lak	lagma=w=a	447	around	spatial		genitive	genitive		1	0	1	0	suffix		
Lak	Lak	q'at'u<w>aj	448	outside	spatial	noun	genitive	genitive	1	1	0	1	0	suffix		
Lak	Lak	oˁiwan	449	for spite	abstract		genitive	genitive		1	0	0	0			
Lak	Lak	arħal	450	together with	abstract		comitative	comitative		1	0	0	0			
Lak	Lak	χːišala	451	except	abstract		comparative	comparative		1	0	0	0			
Lak	Lak	sawawnu	452	because of	abstract	noun	absolutive	absolutive			1	0	0			
Lak	Lak	ħisawraj	453	about	abstract		absolutive	absolutive		1	0	0	0		may contain class marker but maybe it is fossilized	
Lak	Lak	qːaršinu	454	opposite	spatial		superallative	superallative		1	1	0	0			
Lak	Lak	k'an<tː>aj	455	instead	abstract	noun	dative	dative		0	0	1	0	suffix		
Lak	Lak	qiriw	456	following	spatial		genitive	genitive		1	0	0	0			
Lak	Lak	c'anij	457	for	abstract	noun				0	0	0	0			
Lak	Lak	χːulːij	458	for	abstract	noun				0	0	0	0		outdated	
Lak	Lak	ħaqːirawu	459	about	abstract					0	1	0	0			
Lak	Lak	lažindaraj	460	during	temporal	noun				0	0	0	0		may contain class marker but maybe it is fossilized	
Lak	Lak	b=uruwgun	461	compared to	abstract	verb				0	0	1	1	prefix		
Lak	Lak	b=uwnu	462	according to	abstract	verb				0	0	1	1	prefix		
Lak	Lak	b=aqːaː	463	without	abstract	verb				0	0	1	1	prefix		
Lak	Lak	bak'raj	464	in the beginning	temporal	noun				0	0	0	0			
Lak	Lak	zumunu	465	like	abstract					0	0	0	0			
Kina Rutul	Lezgic	ɢaršuja	466	facing (dynamic)	spatial		attributive	attributive	0	1	1	0	0			
Kina Rutul	Lezgic	ɢaršuja	467	facing (static)	spatial		attributive	attributive	0	0	1	0	0			
Kina Rutul	Lezgic	ǯɨbra	468	following	spatial	noun	attributive	attributive	1	1	0	0	0			
Kina Rutul	Lezgic	aː-uː	469	around	spatial		attributive	attributive	0	1	0	0	0			
Kina Rutul	Lezgic	xura	470	in front of	spatial		attributive	attributive	1	1	0	0	0			
Kina Rutul	Lezgic	xala	471	behind	spatial		attributive	attributive	1	1	0	0	0			
Kina Rutul	Lezgic	bejda	472	beside	spatial	noun	attributive	attributive	1	1	0	0	0			
Kina Rutul	Lezgic	bejda	472	beside	spatial	noun	dative	dative	1	1	0	0	0			
Kina Rutul	Lezgic	uliχda	473	in front of	spatial	noun	attributive	attributive	1	1	0	0	0			
Kina Rutul	Lezgic	q'aneχda	474	under	spatial	noun	attributive	attributive	1	1	0	0	0			
Kina Rutul	Lezgic	jɨˁq'a	475	between	spatial	noun	attributive	attributive	1	0	0	0	0			
Kina Rutul	Lezgic	jɨˁq'aχda	476	behind	spatial	noun	attributive	attributive	1	1	0	0	0			
Kina Rutul	Lezgic	badana	477	for	abstract		attributive	attributive	0	0	1	0	0			
Kina Rutul	Lezgic	gura	478	regarding	abstract		dative	dative	0	0	1	0	0			
Kina Rutul	Lezgic	jerinde	479	instead	abstract		attributive	attributive	0	0	1	0	0			
Kina Rutul	Lezgic	ʁajire	480	except	abstract		superelative	superelative	0	0	1	0	0			
Tsakhur	Lezgic	jiˁqq'aliʲ	481	behind	spatial	noun	attributive	attributive	1	1	0	0	0			
Tsakhur	Lezgic	muglekʲ	482	near	spatial	noun	attributive	attributive	1	1	0	0	0			
Tsakhur	Lezgic	ɢeraʁɨlʲ	483	near	spatial	noun	attributive	attributive		0	0	0	0			
Tsakhur	Lezgic	aq'ʷalʲ	484	on	spatial	noun	attributive	attributive		0	0	0	0			
Tsakhur	Lezgic	arajlʲ	485	among	spatial	noun	attributive	attributive	1	0	1	0	0			
Tsakhur	Lezgic	a=d	486	in	spatial		inessive	inessive		1	0	1	1	suffix		
Tsakhur	Lezgic	alla	487	because of	abstract		superessive	superessive		0	0	0	0			
Tsakhur	Lezgic	alqa	488	from	spatial		superelative	superelative		1	0	0	0			
Tsakhur	Lezgic	alqa	488	about	abstract		superelative	superelative		1	0	0	0			
Tsakhur	Lezgic	awu=d	489	below	spatial		contessive	contessive	1	1	0	1	1	suffix		
Tsakhur	Lezgic	ʁajra	490	except	abstract		superessive	superessive		0	1	0	0			
Tsakhur	Lezgic	aʁalla	491	above	spatial		superelative	superelative		0	0	0	0			
Tsakhur	Lezgic	aʁalla	491	above	spatial		contelative	contelative		0	0	0	0			
Tsakhur	Lezgic	ahnʲa	492	under	spatial		superelative	superelative		1	0	0	0			
Tsakhur	Lezgic	gora	493	because of	abstract		contallative	contallative		0	1	0	0			
Tsakhur	Lezgic	haˁk'eː	494	about	abstract		attributive	attributive		0	1	0	0			
Tsakhur	Lezgic	hiqa	495	ahead	spatial		attributive	attributive		1	0	0	0			
Tsakhur	Lezgic	hiqa	496	compared to	abstract		superelative	superelative		1	0	0	0			
Tsakhur	Lezgic	hiqiːʔalla	497	around	spatial		attributive	attributive		1	0	0	0			
Tsakhur	Lezgic	janalʲ	498	beside	spatial	noun	attributive	attributive	1	0	1	0	0			
Tsakhur	Lezgic	k'ane	499	near	spatial		attributive	attributive	1	1	0	0	0			
Tsakhur	Lezgic	meː	500	till	spatial		attributive	attributive			0	0	0			
Tsakhur	Lezgic	meː	500	for	abstract		attributive	attributive			0	0	0			
Tsakhur	Lezgic	oˁgiːlʲ	501	in front of	spatial		attributive	attributive	1	1	0	0	0			
Tsakhur	Lezgic	qihnʲa	502	following	spatial		possessive	possessive		1	0	0	0			
Tsakhur	Lezgic	qihnʲa	502	following	spatial		attributive	attributive		1	0	0	0			
Tsakhur	Lezgic	qiʁa	503	after	temporal		superelative	superelative		1	0	0	0			
Tsakhur	Lezgic	sana	504	together with	abstract		comitative	comitative		0	0	0	0			
Tsakhur	Lezgic	saǯigeː	505	together with	abstract		comitative	comitative		0	0	0	0			
Tsakhur	Lezgic	sak'ɨ	506	according to	abstract		dative	dative		0	0	0	0			
Tsakhur	Lezgic	uʁa	507	above	spatial		superessive	superessive	1	1	0	0	0			
Lezgian	Lezgic	k'anik	508	under	spatial	noun	genitive	genitive	1	1	0	0	0			
Lezgian	Lezgic	q'iliw	509	near	spatial	noun	genitive	genitive		1	0	0	0			
Lezgian	Lezgic	qwalaw	510	near	spatial	noun	genitive	genitive		1	0	0	0			
Lezgian	Lezgic	arada	511	between	spatial	noun	genitive	genitive	1	1	1	0	0			
Lezgian	Lezgic	patal	512	for	abstract		absolutive	absolutive		0	1	0	0			
Lezgian	Lezgic	pataj	513	from	spatial	noun	genitive	genitive		0	0	0	0			
Lezgian	Lezgic	čkadal	514	instead	abstract	noun	genitive	genitive		1	0	0	0			
Lezgian	Lezgic	qanšardiz	515	to	spatial	noun	genitive	genitive		1	1	0	0			
Lezgian	Lezgic	ɢene	516	inside	spatial	noun	genitive	genitive	1	1	0	0	0			
Lezgian	Lezgic	juq'wa	517	in the middle	spatial	noun				1	0	0	0			
Lezgian	Lezgic	muq'uw	518	near	spatial	noun	genitive	genitive	1	1	0	0	0			
Lezgian	Lezgic	qːece	519	outside	spatial		superelative	superelative	1	1	0	0	0			
Lezgian	Lezgic	winel	520	above	spatial		genitive	genitive	1	1	0	0	0			
Lezgian	Lezgic	winiz	521	above	spatial		inelative	inelative		1	0	0	0			
Lezgian	Lezgic	aǧuz	522	down	spatial		inelative	inelative	1	1	0	0	0			
Lezgian	Lezgic	wilik	523	in front of	spatial	noun	genitive	genitive	1	1	0	0	0			
Lezgian	Lezgic	wilik	524	before	temporal	noun	superelative	superelative	0	1	0	0	0			
Lezgian	Lezgic	q'uluqh	525	behind	spatial	noun	genitive	genitive	1	1	0	0	0			
Lezgian	Lezgic	q'uluqh	526	after	temporal	noun	superelative	superelative		1	0	0	0			
Lezgian	Lezgic	güǧüna	527	behind	spatial		genitive	genitive	1	1	0	0	0			
Lezgian	Lezgic	güǧüna	528	after	temporal		superelative	superelative		1	0	0	0			
Lezgian	Lezgic	kiligna	529	according to	abstract	verb	dative	dative		0	0	0	0			
Lezgian	Lezgic	kwačiz	530	except	abstract	verb	absolutive	absolutive		0	0	0	0			
Lezgian	Lezgic	galaz	531	with	abstract	verb	postessive	postessive		1	0	0	0			
Lezgian	Lezgic	galaz	531	with	abstract	verb	absolutive	absolutive		1	0	0	0			
Lezgian	Lezgic	gwaz	532	with	abstract	verb	absolutive	absolutive		1	0	0	0			
Lezgian	Lezgic	ǧejri	533	except	abstract		superelative	superelative		0	1	0	0			
Lezgian	Lezgic	bašqa	534	except	abstract		superelative	superelative		0	1	0	0			
Lezgian	Lezgic	haqqindaj	535	about	abstract		genitive	genitive		0	1	0	0			
Lezgian	Lezgic	baradaj	536	about	abstract		genitive	genitive		0	0	0	0			
Lezgian	Lezgic	aksi	537	against	spatial		dative	dative		1	0	0	0			
Lezgian	Lezgic	aksina	538	against	spatial		genitive	genitive		1	0	0	0			
Lezgian	Lezgic	qqarši	539	opposite	spatial		dative	dative		1	1	0	0			
Udi	Lezgic	č'ägi	540	late	temporal	noun					0	0	0			
Udi	Lezgic	q'ati	541	between	spatial	noun	genitive	genitive	0		0	0	0			
Udi	Lezgic	best'a	542	in front of	spatial	noun	genitive	genitive	1		0	0	0			
